Costa Rica	San Jos?
Tristan da Cunha	Edinburgh of the Seven Seas
Saint Pierre and Miquelon	St. Pierre
Laos	Vientiane
Republic of the Congo	Brazzaville
Ireland	Dublin
Tunisia	Tunis
Singapore	Singapore
Australia	Canberra
Hungary	Budapest
India	New Delhi
Mauritania	Nouakchott
Antigua and Barbuda	St. John's
Nigeria	Abuja
Montserrat	Plymouth
Saint Kitts and Nevis	Basseterre
Andorra	Andorra la Vella
Monaco	Monaco
Spain	Madrid
Burundi	Bujumbura
Saint Lucia	Castries
Chad	N'Djamena
Bulgaria	Sofia
Saudi Arabia	Riyadh
Mauritius	Port Louis
Democratic Republic of the Congo	Kinshasa
New Caledonia	Noum?a
Chile	Santiago
United States Virgin Islands	Charlotte Amalie
Haiti	Port-au-Prince
Samoa	Apia
Azerbaijan	Baku
Gabon	Libreville
Cocos (Keeling) Islands	West Island
Austria	Vienna
Finland	Helsinki
British Virgin Islands	Road Town
Norfolk Island	Kingston
Guatemala	Guatemala City
Solomon Islands	Honiara
Federated States of Micronesia	Palikir
Mongolia	Ulan Bator
Netherlands	Amsterdam
Syria	Damascus
French Polynesia	Papeete
Trinidad and Tobago	Port of Spain
Burma	Naypyidaw
Oman	Muscat
Faroe Islands	T?rshavn
Denmark	Copenhagen
Togo	Lom?
Brazil	Bras?lia
Malawi	Lilongwe
New Zealand	Wellington
Sri Lanka	Sri Jayawardenepura Kotte
China	Beijing
Turkmenistan	Ashgabat
Yemen	Sana'a
Lesotho	Maseru
Cape Verde	Praia
Sierra Leone	Freetown
Canada	Ottawa
Guyana	Georgetown
Taiwan	Taipei
Nagorno-Karabakh Republic	Stepanakert
Latvia	Riga
Bhutan	Thimphu
Bahrain	Manama
Vietnam	Hanoi
Niue	Alofi
Sudan	Khartoum
Saint Martin	Marigot
Turks and Caicos Islands	Cockburn Town
Slovakia	Bratislava
Iraq	Baghdad
Mozambique	Maputo
Sahrawi Arab Democratic Republic?	El Aai?n
France	Paris
Guam	Hag?t?a
United States	Washington, D.C.
